Character,Sentence
CAESAR,". Welcome, Publius.What, Brutus, are you stirr'd so early too?Good morrow, Casca. Caius Ligarius,Caesar was ne'er so much your enemyAs that same ague which hath made you lean.What is't o'clock?"
BRUTUS,". Caesar, 'tis strucken eight."
CAESAR,". I thank you for your pains and courtesy.Enter Antony.See, Antony, that revels long o' nights,Is notwithstanding up. Good morrow, Antony."
ANTONY,. So to most noble Caesar.
CAESAR,". Bid them prepare within.I am to blame to be thus waited for.Now, Cinna; now, Metellus; what, Trebonius,I have an hour's talk in store for you;Remember that you call on me today;Be near me, that I may remember you."
CAESAR,". Good friends, go in and taste some wine with me,And we like friends will straightway go together."
BRUTUS,". [Aside.] That every like is not the same, O Caesar,The heart of Brutus yearns to think upon!Exeunt."
CAESAR,. The ides of March are come.
CAESAR,. What touches us ourself shall be last served.
CAESAR,". What, is the fellow mad?"
CASSIUS,". What, urge you your petitions in the street?Come to the Capitol.Caesar goes up to the Senate House, the rest follow."
CASSIUS,". What enterprise, Popilius?"
BRUTUS,. What said Popilius Lena?
CASSIUS,. He wish'd today our enterprise might thrive.I fear our purpose is discovered.
BRUTUS,". Look, how he makes to Caesar. Mark him."
CASSIUS,". Casca,Be sudden, for we fear prevention.Brutus, what shall be done? If this be known,Cassius or Caesar never shall turn back,For I will slay myself."
BRUTUS,". Cassius, be constant.Popilius Lena speaks not of our purposes;For, look, he smiles, and Caesar doth not change."
CASSIUS,". Trebonius knows his time, for, look you, Brutus,He draws Mark Antony out of the way.Exeunt Antony and Trebonius."
BRUTUS,. He is address'd; press near and second him.
CAESAR,. Are we all ready? What is now amissThat Caesar and his Senate must redress?
CAESAR,". I must prevent thee, Cimber.These couchings and these lowly courtesiesMight fire the blood of ordinary menAnd turn preordinance and first decreeInto the law of children. Be not fondTo think that Caesar bears such rebel bloodThat will be thaw'd from the true qualityWith that which melteth fools- I mean sweet words,Low-crooked court'sies, and base spaniel-fawning.Thy brother by decree is banished.If thou dost bend and pray and fawn for him,I spurn thee like a cur out of my way.Know, Caesar doth not wrong, nor without causeWill he be satisfied."
BRUTUS,". I kiss thy hand, but not in flattery, Caesar,Desiring thee that Publius Cimber mayHave an immediate freedom of repeal."
CAESAR,". What, Brutus?"
CASSIUS,". Pardon, Caesar! Caesar, pardon!As low as to thy foot doth Cassius fallTo beg enfranchisement for Publius Cimber."
CAESAR,". I could be well moved, if I were as you;If I could pray to move, prayers would move me;But I am constant as the northern star,Of whose true-fix'd and resting qualityThere is no fellow in the firmament.The skies are painted with unnumber'd sparks;They are all fire and every one doth shine;But there's but one in all doth hold his place.So in the world, 'tis furnish'd well with men,And men are flesh and blood, and apprehensive;Yet in the number I do know but oneThat unassailable holds on his rank,Unshaked of motion; and that I am he,Let me a little show it, even in this;That I was constant Cimber should be banish'd,And constant do remain to keep him so."
CAESAR,. Hence! Wilt thou lift up Olympus?
CAESAR,. Doth not Brutus bootless kneel?
CASCA,". Speak, hands, for me!Casca first, then the other Conspiratorsand Marcus Brutus stab Caesar."
CAESAR,". Et tu, Brute?- Then fall, Caesar! Dies."
CASSIUS,". Some to the common pulpits and cry out""Liberty, freedom, and enfranchisement!"""
BRUTUS,". People and senators, be not affrighted,Fly not, stand still; ambition's debt is paid."
CASCA,". Go to the pulpit, Brutus."
BRUTUS,. Where's Publius?
BRUTUS,". Talk not of standing. Publius, good cheer,There is no harm intended to your person,Nor to no Roman else. So tell them, Publius."
CASSIUS,". And leave us, Publius, lest that the peopleRushing on us should do your age some mischief."
BRUTUS,". Do so, and let no man abide this deedBut we the doers.Re-enter Trebonius."
CASSIUS,. Where is Antony?
BRUTUS,". Fates, we will know your pleasures.That we shall die, we know; 'tis but the timeAnd drawing days out that men stand upon."
CASSIUS,". Why, he that cuts off twenty years of lifeCuts off so many years of fearing death."
BRUTUS,". Grant that, and then is death a benefit;So are we Caesar's friends that have abridgedHis time of fearing death. Stoop, Romans, stoop,And let us bathe our hands in Caesar's bloodUp to the elbows, and besmear our swords;Then walk we forth, even to the marketplace,And waving our red weapons o'er our heads,Let's all cry, ""Peace, freedom, and liberty!"""
CASSIUS,". Stoop then, and wash. How many ages henceShall this our lofty scene be acted overIn states unborn and accents yet unknown!"
BRUTUS,". How many times shall Caesar bleed in sport,That now on Pompey's basis lies alongNo worthier than the dust!"
CASSIUS,". So oft as that shall be,So often shall the knot of us be call'dThe men that gave their country liberty."
CASSIUS,". Ay, every man away.Brutus shall lead, and we will grace his heelsWith the most boldest and best hearts of Rome.Enter a Servant."
BRUTUS,". Soft, who comes here? A friend of Antony's."
BRUTUS,". Thy master is a wise and valiant Roman;I never thought him worse.Tell him, so please him come unto this place,He shall be satisfied and, by my honor,Depart untouch'd."
BRUTUS,. I know that we shall have him well to friend.
CASSIUS,". I wish we may, but yet have I a mindThat fears him much, and my misgiving stillFalls shrewdly to the purpose.Re-enter Antony."
BRUTUS,". But here comes Antony. Welcome, Mark Antony."
ANTONY,". O mighty Caesar! Dost thou lie so low?Are all thy conquests, glories, triumphs, spoils,Shrunk to this little measure? Fare thee well.I know not, gentlemen, what you intend,Who else must be let blood, who else is rank.If I myself, there is no hour so fitAs Caesar's death's hour, nor no instrumentOf half that worth as those your swords, made richWith the most noble blood of all this world.I do beseech ye, if you bear me hard,Now, whilst your purpled hands do reek and smoke,Fulfill your pleasure. Live a thousand years,I shall not find myself so apt to die;No place will please me so, no means of death,As here by Caesar, and by you cut off,The choice and master spirits of this age."
BRUTUS,". O Antony, beg not your death of us!Though now we must appear bloody and cruel,As, by our hands and this our present actYou see we do, yet see you but our handsAnd this the bleeding business they have done.Our hearts you see not; they are pitiful;And pity to the general wrong of Rome-As fire drives out fire, so pity pity-Hath done this deed on Caesar. For your part,To you our swords have leaden points, Mark Antony;Our arms in strength of malice, and our heartsOf brothers' temper, do receive you inWith all kind love, good thoughts, and reverence."
CASSIUS,. Your voice shall be as strong as any man'sIn the disposing of new dignities.
BRUTUS,". Only be patient till we have appeasedThe multitude, beside themselves with fear,And then we will deliver you the causeWhy I, that did love Caesar when I struck him,Have thus proceeded."
ANTONY,". I doubt not of your wisdom.Let each man render me his bloody hand.First, Marcus Brutus, will I shake with you;Next, Caius Cassius, do I take your hand;Now, Decius Brutus, yours; now yours, Metellus;Yours, Cinna; and, my valiant Casca, yours;Though last, not least in love, yours, good Trebonius.Gentlemen all- alas, what shall I say?My credit now stands on such slippery ground,That one of two bad ways you must conceit me,Either a coward or a flatterer.That I did love thee, Caesar, O, 'tis true!If then thy spirit look upon us now,Shall it not grieve thee dearer than thy deathTo see thy Antony making his peace,Shaking the bloody fingers of thy foes,Most noble! In the presence of thy corse?Had I as many eyes as thou hast wounds,Weeping as fast as they stream forth thy blood,It would become me better than to closeIn terms of friendship with thine enemies.Pardon me, Julius! Here wast thou bay'd, brave hart,Here didst thou fall, and here thy hunters stand,Sign'd in thy spoil, and crimson'd in thy Lethe.O world, thou wast the forest to this hart,And this, indeed, O world, the heart of thee.How like a deer strucken by many princesDost thou here lie!"
CASSIUS,. Mark Antony-
ANTONY,". Pardon me, Caius Cassius.The enemies of Caesar shall say this:Then, in a friend, it is cold modesty."
CASSIUS,". I blame you not for praising Caesar so;But what compact mean you to have with us?Will you be prick'd in number of our friends,Or shall we on, and not depend on you?"
ANTONY,". Therefore I took your hands, but was indeedSway'd from the point by looking down on Caesar.Friends am I with you all and love you all,Upon this hope that you shall give me reasonsWhy and wherein Caesar was dangerous."
BRUTUS,". Or else were this a savage spectacle.Our reasons are so full of good regardThat were you, Antony, the son of Caesar,You should be satisfied."
ANTONY,". That's all I seek;And am moreover suitor that I mayProduce his body to the marketplace,And in the pulpit, as becomes a friend,Speak in the order of his funeral."
BRUTUS,". You shall, Mark Antony."
CASSIUS,". Brutus, a word with you.[Aside to Brutus.] You know not what you do. Do not consentThat Antony speak in his funeral.Know you how much the people may be movedBy that which he will utter?"
BRUTUS,". By your pardon,I will myself into the pulpit first,And show the reason of our Caesar's death.What Antony shall speak, I will protestHe speaks by leave and by permission,And that we are contented Caesar shallHave all true rites and lawful ceremonies.It shall advantage more than do us wrong."
CASSIUS,. I know not what may fall; I like it not.
BRUTUS,". Mark Antony, here, take you Caesar's body.You shall not in your funeral speech blame us,But speak all good you can devise of Caesar,And say you do't by our permission,Else shall you not have any hand at allAbout his funeral. And you shall speakIn the same pulpit whereto I am going,After my speech is ended."
ANTONY,". Be it so,I do desire no more."
BRUTUS,". Prepare the body then, and follow us.Exeunt all but Antony."
ANTONY,". O, pardon me, thou bleeding piece of earth,That I am meek and gentle with these butchers!Thou art the ruins of the noblest manThat ever lived in the tide of times.Woe to the hand that shed this costly blood!Over thy wounds now do I prophesy(Which like dumb mouths do ope their ruby lipsTo beg the voice and utterance of my tongue)A curse shall light upon the limbs of men;Domestic fury and fierce civil strifeShall cumber all the parts of Italy;Blood and destruction shall be so in use,And dreadful objects so familiar,That mothers shall but smile when they beholdTheir infants quarter'd with the hands of war;All pity choked with custom of fell deeds,And Caesar's spirit ranging for revenge,With Ate by his side come hot from hell,Shall in these confines with a monarch's voiceCry ""Havoc!"" and let slip the dogs of war,That this foul deed shall smell above the earthWith carrion men, groaning for burial.Enter a Servant.You serve Octavius Caesar, do you not?"
ANTONY,. Caesar did write for him to come to Rome.
ANTONY,". Thy heart is big; get thee apart and weep.Passion, I see, is catching, for mine eyes,Seeing those beads of sorrow stand in thine,Began to water. Is thy master coming?"
ANTONY,". Post back with speed and tell him what hath chanced.Here is a mourning Rome, a dangerous Rome,No Rome of safety for Octavius yet;Hie hence, and tell him so. Yet stay awhile,Thou shalt not back till I have borne this corseInto the marketplace. There shall I try,In my oration, how the people takeThe cruel issue of these bloody men,According to the which thou shalt discourseTo young Octavius of the state of things.Lend me your hand.Exeunt with Caesar's body."
BRUTUS,". Then follow me and give me audience, friends.Cassius, go you into the other streetAnd part the numbers.Those that will hear me speak, let 'em stay here;Those that will follow Cassius, go with him;And public reasons shall be renderedOf Caesar's death."
CITIZEN,. I will hear Brutus speak.
CITIZEN,". I will hear Cassius and compare their reasons,When severally we hear them rendered.Exit Cassius, with some Citizens.Brutus goes into the pulpit."
CITIZEN,. The noble Brutus is ascended. Silence!
BRUTUS,". Be patient till the last.Romans, countrymen, and lovers! Hear me for my cause, and besilent, that you may hear. Believe me for mine honor, andhaverespect to mine honor, that you may believe. Censure me inyourwisdom, and awake your senses, that you may the better judge.Ifthere be any in this assembly, any dear friend of Caesar's,tohim I say that Brutus' love to Caesar was no less than his.Ifthen that friend demand why Brutus rose against Caesar, thisismy answer: Not that I loved Caesar less, but that I lovedRomemore. Had you rather Caesar were living and die all slaves,thanthat Caesar were dead to live all freemen? As Caesar lovedme, Iweep for him; as he was fortunate, I rejoice at it; as he wasvaliant, I honor him; but as he was ambitious, I slew him.Thereis tears for his love, joy for his fortune, honor for hisvalor,and death for his ambition. Who is here so base that would beabondman? If any, speak, for him have I offended. Who is heresorude that would not be a Roman? If any, speak, for him have Ioffended. Who is here so vile that will not love his country?Ifany, speak, for him have I offended. I pause for a reply.ALL. None, Brutus, none."
BRUTUS,". Then none have I offended. I have done no more toCaesarthan you shall do to Brutus. The question of his death isenrolled in the Capitol, his glory not extenuated, wherein hewasworthy, nor his offenses enforced, for which he suffereddeath.Enter Antony and others, with Caesar's body.Here comes his body, mourned by Mark Antony, who, though hehadno hand in his death, shall receive the benefit of his dying,aplace in the commonwealth, as which of you shall not? Withthis Idepart- that, as I slew my best lover for the good of Rome, Ihave the same dagger for myself, when it shall please mycountryto need my death.ALL. Live, Brutus, live, live!"
CITIZEN,. Bring him with triumph home unto his house.
CITIZEN,. Give him a statue with his ancestors.
CITIZEN,. Let him be Caesar.
CITIZEN,. Caesar's better partsShall be crown'd in Brutus.
CITIZEN,. We'll bring him to his house with shouts andclamors.
BRUTUS,. My countrymen-
CITIZEN,. Peace! Silence! Brutus speaks.
CITIZEN,". Peace, ho!"
BRUTUS,". Good countrymen, let me depart alone,And, for my sake, stay here with Antony.Do grace to Caesar's corse, and grace his speechTending to Caesar's glories, which Mark Antony,By our permission, is allow'd to make.I do entreat you, not a man depart,Save I alone, till Antony have spoke.Exit."
CITIZEN,". Stay, ho, and let us hear Mark Antony."
CITIZEN,". Let him go up into the public chair;We'll hear him. Noble Antony, go up."
ANTONY,". For Brutus' sake, I am beholding to you.Goes into the pulpit."
CITIZEN,. What does he say of Brutus?
CITIZEN,". He says, for Brutus' sake,He finds himself beholding to us all."
CITIZEN,. 'Twere best he speak no harm of Brutus here.
CITIZEN,. This Caesar was a tyrant.
CITIZEN,". Nay, that's certain.We are blest that Rome is rid of him."
CITIZEN,. Peace! Let us hear what Antony can say.
ANTONY,". You gentle Romans-ALL. Peace, ho! Let us hear him."
ANTONY,". Friends, Romans, countrymen, lend me your ears!I come to bury Caesar, not to praise him.The evil that men do lives after them,The good is oft interred with their bones;So let it be with Caesar. The noble BrutusHath told you Caesar was ambitious;If it were so, it was a grievous fault,And grievously hath Caesar answer'd it.Here, under leave of Brutus and the rest-For Brutus is an honorable man;So are they all, all honorable men-Come I to speak in Caesar's funeral.He was my friend, faithful and just to me;But Brutus says he was ambitious,And Brutus is an honorable man.He hath brought many captives home to Rome,Whose ransoms did the general coffers fill.Did this in Caesar seem ambitious?When that the poor have cried, Caesar hath wept;Ambition should be made of sterner stuff:Yet Brutus says he was ambitious,And Brutus is an honorable man.You all did see that on the LupercalI thrice presented him a kingly crown,Which he did thrice refuse. Was this ambition?Yet Brutus says he was ambitious,And sure he is an honorable man.I speak not to disprove what Brutus spoke,But here I am to speak what I do know.You all did love him once, not without cause;What cause withholds you then to mourn for him?O judgement, thou art fled to brutish beasts,And men have lost their reason. Bear with me;My heart is in the coffin there with Caesar,And I must pause till it come back to me."
CITIZEN,. Methinks there is much reason in his sayings.
CITIZEN,". If thou consider rightly of the matter,Caesar has had great wrong."
CITIZEN,". Has he, masters?I fear there will a worse come in his place."
CITIZEN,. Mark'd ye his words? He would not take thecrown;Therefore 'tis certain he was not ambitious.
CITIZEN,". If it be found so, some will dear abide it."
CITIZEN,". Poor soul, his eyes are red as fire withweeping."
CITIZEN,. There's not a nobler man in Rome than Antony.
CITIZEN,". Now mark him, he begins again to speak."
ANTONY,". But yesterday the word of Caesar mightHave stood against the world. Now lies he there,And none so poor to do him reverence.O masters! If I were disposed to stirYour hearts and minds to mutiny and rage,I should do Brutus wrong and Cassius wrong,Who, you all know, are honorable men.I will not do them wrong; I rather chooseTo wrong the dead, to wrong myself and you,Than I will wrong such honorable men.But here's a parchment with the seal of Caesar;I found it in his closet, 'tis his will.Let but the commons hear this testament-Which, pardon me, I do not mean to read-And they would go and kiss dead Caesar's woundsAnd dip their napkins in his sacred blood,Yea, beg a hair of him for memory,And, dying, mention it within their wills,Bequeathing it as a rich legacyUnto their issue."
CITIZEN,". We'll hear the will. Read it, Mark Antony.ALL. The will, the will! We will hear Caesar's will."
ANTONY,". Have patience, gentle friends, I must not read it;It is not meet you know how Caesar loved you.You are not wood, you are not stones, but men;And, being men, hearing the will of Caesar,It will inflame you, it will make you mad.'Tis good you know not that you are his heirs,For if you should, O, what would come of it!"
CITIZEN,". Read the will; we'll hear it, Antony.You shall read us the will, Caesar's will."
ANTONY,. Will you be patient? Will you stay awhile?I have o'ershot myself to tell you of it.I fear I wrong the honorable menWhose daggers have stabb'd Caesar; I do fear it.
CITIZEN,. They were traitors. Honorable men!ALL. The will! The testament!
CITIZEN,". They were villains, murtherers. The will!Read the will!"
ANTONY,". You will compel me then to read the will?Then make a ring about the corse of Caesar,And let me show you him that made the will.Shall I descend? And will you give me leave?ALL. Come down."
CITIZEN,. Descend.He comes down from the pulpit.
CITIZEN,. You shall have leave.
CITIZEN,". A ring, stand round."
CITIZEN,". Stand from the hearse, stand from the body."
CITIZEN,". Room for Antony, most noble Antony."
ANTONY,". Nay, press not so upon me, stand far off.ALL. Stand back; room, bear back!"
ANTONY,". If you have tears, prepare to shed them now.You all do know this mantle. I rememberThe first time ever Caesar put it on;'Twas on a summer's evening, in his tent,That day he overcame the Nervii.Look, in this place ran Cassius' dagger through;See what a rent the envious Casca made;Through this the well-beloved Brutus stabb'd;And as he pluck'd his cursed steel away,Mark how the blood of Caesar follow'd it,As rushing out of doors, to be resolvedIf Brutus so unkindly knock'd, or no;For Brutus, as you know, was Caesar's angel.Judge, O you gods, how dearly Caesar loved him!This was the most unkindest cut of all;For when the noble Caesar saw him stab,Ingratitude, more strong than traitors' arms,Quite vanquish'd him. Then burst his mighty heart,And, in his mantle muffling up his face,Even at the base of Pompey's statue,Which all the while ran blood, great Caesar fell.O, what a fall was there, my countrymen!Then I, and you, and all of us fell down,Whilst bloody treason flourish'd over us.O, now you weep, and I perceive you feelThe dint of pity. These are gracious drops.Kind souls, what weep you when you but beholdOur Caesar's vesture wounded? Look you here,Here is himself, marr'd, as you see, with traitors."
CITIZEN,. O piteous spectacle!
CITIZEN,. O noble Caesar!
CITIZEN,. O woeful day!
CITIZEN,. O traitors villains!
CITIZEN,. O most bloody sight!
CITIZEN,. We will be revenged.ALL. Revenge! About! Seek! Burn! Fire! Kill!Slay! Let not a traitor live!
ANTONY,". Stay, countrymen."
CITIZEN,. Peace there! Hear the noble Antony.
CITIZEN,". We'll hear him, we'll follow him, we'll diewithhim."
ANTONY,". Good friends, sweet friends, let me not stir you upTo such a sudden flood of mutiny.They that have done this deed are honorable.What private griefs they have, alas, I know not,That made them do it. They are wise and honorable,And will, no doubt, with reasons answer you.I come not, friends, to steal away your hearts.I am no orator, as Brutus is;But, as you know me all, a plain blunt man,That love my friend, and that they know full wellThat gave me public leave to speak of him.For I have neither wit, nor words, nor worth,Action, nor utterance, nor the power of speech,To stir men's blood. I only speak right on;I tell you that which you yourselves do know;Show you sweet Caesar's wounds, poor dumb mouths,And bid them speak for me. But were I Brutus,And Brutus Antony, there were an AntonyWould ruffle up your spirits and put a tongueIn every wound of Caesar that should moveThe stones of Rome to rise and mutiny.ALL. We'll mutiny."
CITIZEN,. We'll burn the house of Brutus.
CITIZEN,". Away, then! Come, seek the conspirators."
ANTONY,". Yet hear me, countrymen; yet hear me speak.ALL. Peace, ho! Hear Antony, most noble Antony!"
ANTONY,". Why, friends, you go to do you know not what.Wherein hath Caesar thus deserved your loves?Alas, you know not; I must tell you then.You have forgot the will I told you of.ALL. Most true, the will! Let's stay and hear the will."
ANTONY,". Here is the will, and under Caesar's seal.To every Roman citizen he gives,To every several man, seventy-five drachmas."
CITIZEN,. Most noble Caesar! We'll revenge his death.
CITIZEN,. O royal Caesar!
ANTONY,". Hear me with patience.ALL. Peace, ho!"
ANTONY,". Moreover, he hath left you all his walks,His private arbors, and new-planted orchards,On this side Tiber; he hath left them you,And to your heirs forever- common pleasures,To walk abroad and recreate yourselves.Here was a Caesar! When comes such another?"
CITIZEN,". Never, never. Come, away, away!We'll burn his body in the holy placeAnd with the brands fire the traitors' houses.Take up the body."
CITIZEN,. Go fetch fire.
CITIZEN,. Pluck down benches.
CITIZEN,". Pluck down forms, windows, anything.Exeunt Citizens with the body."
ANTONY,". Now let it work. Mischief, thou art afoot,Take thou what course thou wilt.Enter a Servant.How now, fellow?"
ANTONY,. Where is he?
ANTONY,". And thither will I straight to visit him.He comes upon a wish. Fortune is merry,And in this mood will give us anything."
ANTONY,". Be like they had some notice of the people,How I had moved them. Bring me to Octavius.Exeunt."
CITIZEN,. What is your name?
CITIZEN,. Whither are you going?
CITIZEN,. Where do you dwell?
CITIZEN,. Are you a married man or a bachelor?
CITIZEN,. Answer every man directly.
CITIZEN,". Ay, and briefly."
CITIZEN,". Ay, and wisely."
CITIZEN,". Ay, and truly, you were best."
CITIZEN,". That's as much as to say they are fools thatmarry.You'll bear me a bang for that, I fear. Proceed directly."
CITIZEN,. As a friend or an enemy?
CITIZEN,. That matter is answered directly.
CITIZEN,". For your dwelling, briefly."
CITIZEN,". Your name, sir, truly."
CITIZEN,". Tear him to pieces, he's a conspirator."
CITIZEN,". Tear him for his bad verses, tear him for hisbadverses."
CITIZEN,". It is no matter, his name's Cinna. Pluck buthisname out of his heart, and turn him going."
CITIZEN,". Tear him, tear him! Come, brands, ho,firebrands. ToBrutus', to Cassius'; burn all. Some to Decius' house, andsometo Casca's, some to Ligarius'. Away, go!Exeunt.<<"
ANTONY,". These many then shall die, their names are prick'd."
ANTONY,". He shall not live; look, with a spot I damn him.But, Lepidus, go you to Caesar's house,Fetch the will hither, and we shall determineHow to cut off some charge in legacies."
ANTONY,". This is a slight unmeritable man,Meet to be sent on errands. Is it fit,The three-fold world divided, he should standOne of the three to share it?"
ANTONY,". Octavius, I have seen more days than you,And though we lay these honors on this manTo ease ourselves of divers slanderous loads,He shall but bear them as the ass bears gold,To groan and sweat under the business,Either led or driven, as we point the way;And having brought our treasure where we will,Then take we down his load and turn him off,Like to the empty ass, to shake his earsAnd graze in commons."
ANTONY,". So is my horse, Octavius, and for thatI do appoint him store of provender.It is a creature that I teach to fight,To wind, to stop, to run directly on,His corporal motion govern'd by my spirit.And, in some taste, is Lepidus but so:He must be taught, and train'd, and bid go forth;A barren-spirited fellow, one that feedsOn objects, arts, and imitations,Which, out of use and staled by other men,Begin his fashion. Do not talk of himBut as a property. And now, Octavius,Listen great things. Brutus and CassiusAre levying powers; we must straight make head;Therefore let our alliance be combined,Our best friends made, our means stretch'd;And let us presently go sit in council,How covert matters may be best disclosed,And open perils surest answered."
BRUTUS,". Stand, ho!"
BRUTUS,". What now, Lucilius, is Cassius near?"
BRUTUS,". He greets me well. Your master, Pindarus,In his own change, or by ill officers,Hath given me some worthy cause to wishThings done undone; but if he be at hand,I shall be satisfied."
BRUTUS,". He is not doubted. A word, Lucilius,How he received you. Let me be resolved."
BRUTUS,". Thou hast describedA hot friend cooling. Ever note, Lucilius,When love begins to sicken and decayIt useth an enforced ceremony.There are no tricks in plain and simple faith;But hollow men, like horses hot at hand,Make gallant show and promise of their mettle;But when they should endure the bloody spur,They fall their crests and like deceitful jadesSink in the trial. Comes his army on?"
BRUTUS,". Hark, he is arrived.March gently on to meet him.Enter Cassius and his Powers."
CASSIUS,". Stand, ho!"
BRUTUS,". Stand, ho! Speak the word along."
CASSIUS,". Most noble brother, you have done me wrong."
BRUTUS,". Judge me, you gods! Wrong I mine enemies?And, if not so, how should I wrong a brother?"
CASSIUS,". Brutus, this sober form of yours hides wrongs,And when you do them-"
BRUTUS,". Cassius, be content,Speak your griefs softly, I do know you well.Before the eyes of both our armies here,Which should perceive nothing but love from us,Let us not wrangle. Bid them move away;Then in my tent, Cassius, enlarge your griefs,And I will give you audience."
CASSIUS,". Pindarus,Bid our commanders lead their charges offA little from this ground."
BRUTUS,". Lucilius, do you the like, and let no manCome to our tent till we have done our conference.Let Lucius and Titinius guard our door.Exeunt."
CASSIUS,". That you have wrong'd me doth appear in this:You have condemn'd and noted Lucius PellaFor taking bribes here of the Sardians,Wherein my letters, praying on his side,Because I knew the man, were slighted off."
BRUTUS,. You wrong'd yourself to write in such a case.
CASSIUS,. In such a time as this it is not meetThat every nice offense should bear his comment.
BRUTUS,". Let me tell you, Cassius, you yourselfAre much condemn'd to have an itching palm,To sell and mart your offices for goldTo undeservers."
CASSIUS,". I an itching palm?You know that you are Brutus that speaks this,Or, by the gods, this speech were else your last."
BRUTUS,". The name of Cassius honors this corruption,And chastisement doth therefore hide his head."
CASSIUS,. Chastisement?
BRUTUS,". Remember March, the ides of March remember.Did not great Julius bleed for justice' sake?What villain touch'd his body, that did stab,And not for justice? What, shall one of us,That struck the foremost man of all this worldBut for supporting robbers, shall we nowContaminate our fingers with base bribesAnd sell the mighty space of our large honorsFor so much trash as may be grasped thus?I had rather be a dog, and bay the moon,Than such a Roman."
CASSIUS,". Brutus, bait not me,I'll not endure it. You forget yourselfTo hedge me in. I am a soldier, I,Older in practice, abler than yourselfTo make conditions."
BRUTUS,". Go to, you are not, Cassius."
CASSIUS,. I am.
BRUTUS,. I say you are not.
CASSIUS,". Urge me no more, I shall forget myself;Have mind upon your health, tempt me no farther."
BRUTUS,". Away, slight man!"
CASSIUS,. Is't possible?
BRUTUS,". Hear me, for I will speak.Must I give way and room to your rash choler?Shall I be frighted when a madman stares?"
CASSIUS,". O gods, ye gods! Must I endure all this?"
BRUTUS,". All this? Ay, more. Fret till your proud heart break.Go show your slaves how choleric you are,And make your bondmen tremble. Must I bouge?Must I observe you? Must I stand and crouchUnder your testy humor? By the gods,You shall digest the venom of your spleen,Though it do split you, for, from this day forth,I'll use you for my mirth, yea, for my laughter,When you are waspish."
CASSIUS,. Is it come to this?
BRUTUS,". You say you are a better soldier:Let it appear so, make your vaunting true,And it shall please me well. For mine own part,I shall be glad to learn of noble men."
CASSIUS,". You wrong me every way, you wrong me, Brutus.I said, an elder soldier, not a better.Did I say ""better""?"
BRUTUS,". If you did, I care not."
CASSIUS,". When Caesar lived, he durst not thus have moved me."
BRUTUS,". Peace, peace! You durst not so have tempted him."
CASSIUS,. I durst not?
BRUTUS,. No.
CASSIUS,". What, durst not tempt him?"
BRUTUS,. For your life you durst not.
CASSIUS,. Do not presume too much upon my love;I may do that I shall be sorry for.
BRUTUS,". You have done that you should be sorry for.There is no terror, Cassius, in your threats,For I am arm'd so strong in honesty,That they pass by me as the idle windWhich I respect not. I did send to youFor certain sums of gold, which you denied me,For I can raise no money by vile means.By heaven, I had rather coin my heartAnd drop my blood for drachmas than to wringFrom the hard hands of peasants their vile trashBy any indirection. I did sendTo you for gold to pay my legions,Which you denied me. Was that done like Cassius?Should I have answer'd Caius Cassius so?When Marcus Brutus grows so covetousTo lock such rascal counters from his friends,Be ready, gods, with all your thunderbolts,Dash him to pieces!"
CASSIUS,. I denied you not.
BRUTUS,. You did.
CASSIUS,". I did not. He was but a foolThat brought my answer back. Brutus hath rived my heart.A friend should bear his friend's infirmities,But Brutus makes mine greater than they are."
BRUTUS,". I do not, till you practise them on me."
CASSIUS,. You love me not.
BRUTUS,. I do not like your faults.
CASSIUS,. A friendly eye could never see such faults.
BRUTUS,". A flatterer's would not, though they do appearAs huge as high Olympus."
CASSIUS,". Come, Antony, and young Octavius, come,Revenge yourselves alone on Cassius,For Cassius is aweary of the world:Hated by one he loves; braved by his brother;Check'd like a bondman; all his faults observed,Set in a notebook, learn'd and conn'd by rote,To cast into my teeth. O, I could weepMy spirit from mine eyes! There is my dagger,And here my naked breast; within, a heartDearer than Pluto's mine, richer than gold.If that thou best a Roman, take it forth;I, that denied thee gold, will give my heart.Strike, as thou didst at Caesar, for I know,When thou didst hate him worst, thou lovedst him betterThan ever thou lovedst Cassius."
BRUTUS,". Sheathe your dagger.Be angry when you will, it shall have scope;Do what you will, dishonor shall be humor.O Cassius, you are yoked with a lamb,That carries anger as the flint bears fire,Who, much enforced, shows a hasty sparkAnd straight is cold again."
CASSIUS,". Hath Cassius livedTo be but mirth and laughter to his Brutus,When grief and blood ill-temper'd vexeth him?"
BRUTUS,". When I spoke that, I was ill-temper'd too."
CASSIUS,. Do you confess so much? Give me your hand.
BRUTUS,. And my heart too.
CASSIUS,. O Brutus!
BRUTUS,. What's the matter?
CASSIUS,. Have not you love enough to bear with meWhen that rash humor which my mother gave meMakes me forgetful?
BRUTUS,". Yes, Cassius, and from henceforth,When you are overearnest with your Brutus,He'll think your mother chides, and leave you so."
CASSIUS,". How now, what's the matter?"
CASSIUS,". Ha, ha! How vilely doth this cynic rhyme!"
BRUTUS,". Get you hence, sirrah; saucy fellow, hence!"
CASSIUS,". Bear with him, Brutus; 'tis his fashion."
BRUTUS,". I'll know his humor when he knows his time.What should the wars do with these jigging fools?Companion, hence!"
CASSIUS,". Away, away, be gone!Exit Poet."
BRUTUS,". Lucilius and Titinius, bid the commandersPrepare to lodge their companies tonight."
